Country,Rev,Employees
United States,21410230,329064917
China,15543710,1433783686
Japan,5362220,126860301
Germany,4416800,83517045
India,3155230,1366417754
France,3060070,65129728
United Kingdom,3022580,67530172
Italy,2261460,60550075
Brazil,2256850,211049527
Canada,1908530,37411047
South Korea,1777650,51225308
Russia,1754290,145872256
Spain,1583870,46736776
Australia,1581890,25203198
Mexico,1285080,127575529
Indonesia,1152890,270625568
Netherlands,994771,17097130
Turkey,961655,83429615
Switzerland,779327,8591365
Saudi Arabia,759219,34268528
Argentina,659694,44780677
Poland,649974,37887768
Sweden,628802,10036379
Taiwan,620600,23773876
Belgium,587699,11539328
Thailand,520074,69625582
Austria,503538,8955102
Nigeria,475566,200963599
Norway,460177,5378857
United Arab Emirates,427830,9770529
Iran,413114,82913906
Ireland,409225,4882495
Malaysia,402605,31949777
Israel,390656,8519377
Hong Kong,387983,7436154
South Africa,386853,58558270
Denmark,386403,5771876
Singapore,367783,5804337
Philippines,355744,108116615
Colombia,347027,50339443
Bangladesh,312794,163046161
Finland,304133,5532156
Chile,295844,18952038
Czech Republic,276961,10689209
Romania,265265,19364557
Vietnam,264939,96462106
Portugal,260353,10226187
Peru,246714,32510453
Greece,235836,10473455
New Zealand,235328,4783063
Iraq,233402,39309783
Algeria,208773,43053054
Qatar,193906,2832067
Kazakhstan,190469,18551427
Hungary,172827,9684679
Kuwait,140146,4207083
Morocco,129033,36471769
Ukraine,126721,43993638
Angola,121138,31825295
Slovakia,119875,5457013
Ecuador,109866,17373662
Sri Lanka,99651,21323733
Puerto Rico,96980,2933408
Kenya,95803,52573973
Venezuela,92417,28515829
Ethiopia,89727,112078730
Guatemala,87819,17581472
Oman,85636,4974986
Dominican Republic,84585,10738958
Luxembourg,77436,615729
Myanmar,74974,54045420
Panama,72371,4246439
Bulgaria,68490,7000119
Uruguay,66749,3461734
Costa Rica,64850,5047561
Croatia,63810,4130304
Tanzania,61660,58005463
Belarus,61522,9452411
Slovenia,60638,2078654
Lithuania,58215,2759627
Macau,57573,640445
Ghana,56725,30417856
Lebanon,56379,6855713
Ivory Coast,52979,25716544
Serbia,51304,8772235
Azerbaijan,47926,10047718
Uzbekistan,47892,32981716
Libya,46923,6777452
Turkmenistan,46401,5942089
Jordan,44794,10101694
Bolivia,43804,11513100
DR Congo,43663,86790567
Tunisia,41956,11694719
Cameroon,41748,25876380
Bahrain,39703,1641172
Latvia,38621,1906743
Paraguay,34615,7044636
Estonia,33267,1325648
Iceland,31646,339031
El Salvador,30709,6453553
Uganda,29690,44269594
Nepal,28750,28608710
Papua New Guinea,27411,8776109
Zambia,27217,17861030
Cambodia,26628,16486542
Cyprus,26359,1198575
Honduras,24823,9746117
Afghanistan,22925,38041754
Trinidad and Tobago,22533,1394973
Senegal,21722,16296364
Bosnia and Herzegovina,21502,3301000
Zimbabwe,21067,14645468
Laos,20059,7169455
Botswana,19268,2303697
Mali,19247,19658031
Gabon,18096,2172579
Yemen,17452,29161922
Georgia,17433,3996765
Albania,16146,2880917
Malta,16046,440372
Burkina Faso,15867,20321378
Jamaica,15845,2948279
Nicaragua,15499,6545502
Mozambique,15017,30366036
Brunei,14791,433285
Mauritius,14217,1269668
Namibia,14071,2494530
Macedonia,13904,2083459
Mongolia,13786,3225167
Madagascar,13559,26969307
Bahamas,12899,389482
Armenia,12696,2957731
Chad,12240,15946876
Benin,12200,11801151
Guinea,11698,12771246
Equatorial Guinea,11386,1355986
Republic of the Congo,10923,5380508
Niger,10717,23310715
Rwanda,10532,12626950
Moldova,9903,4043263
Haiti,9751,11263077
Somalia,8210,15442905
Tajikistan,8176,9321018
Kyrgyzstan,8029,6415850
Eritrea,7717,3497117
Malawi,7024,18628747
Togo,6078,8082366
Montenegro,5862,627987
Fiji,5794,889953
Mauritania,5540,4525696
Barbados,5516,287025
Maldives,5169,530953
Swaziland,4644,1148130
Burundi,4526,11530580
Suriname,4226,581372
Sierra Leone,3976,7813215
Guyana,3911,782766
Liberia,3534,4937374
Lesotho,3062,2125268
Timor-Leste,3029,1293119
South Sudan,2807,11062113
Bhutan,2800,763092
Djibouti,2380,973560
Central African Republic,2334,4745185
Cape Verde,2099,549935
Belize,1987,390353
San Marino,1864,33860
Saint Lucia,1825,182790
Guinea-Bissau,1728,1920922
Antigua and Barbuda,1693,97118
Seychelles,1659,97739
Solomon Islands,1463,669823
Grenada,1249,112003
Gambia,1159,2347706
Saint Kitts and Nevis,1024,52823
Vanuatu,1024,299882
Samoa,920,197097
Saint Vincent and the Grenadines,871,110589
Comoros,781,850886
Dominica,542,71808
Sao Tome and Principe,489,215056
Tonga,454,104494
Micronesia,342,113815
Palau,341,18008
Kiribati,220,117606
Marshall Islands,211,58791
Nauru,114,10756
Tuvalu,45,11646
Andorra,,77142
Anguilla,,14869
Aruba,,106314
Bermuda,,62506
British Virgin Islands,,30030
Cayman Islands,,64948
Cook Islands,,17548
Cuba,,11333483
Curaçao,,163424
North Korea,,25666161
Egypt,,100388073
French Polynesia,,279287
Greenland,,56672
Liechtenstein,,38019
Monaco,,38964
Montserrat,,4989
New Caledonia,,282750
Pakistan,,216565318
Sint Maarten,,42388
Palestine,,4981420
Sudan,,42813238
Syria,,17070135
Turks and Caicos Islands,,38191
